order_id,line_number,product_id,qty,unit_price,extended_price
O4200000046,2,57,1,2.91,2.91
O4200000046,3,86,1,22.03,22.03
O4200000047,1,49,1,8.0,8.0
O4200000047,2,172,1,25.09,25.09
O4200000047,3,37,1,7.2,7.2
O4200000047,4,96,4,2.99,11.96
O4200000047,5,68,5,7.93,39.65
O4200000048,1,161,1,5.39,5.39
O4200000048,2,90,1,16.61,16.61
O4200000048,3,128,1,24.48,24.48
O4200000049,1,82,1,18.84,18.84
O4200000049,2,65,1,18.04,18.04
O4200000050,1,152,1,19.3,19.3
O4200000050,2,70,1,4.93,4.93
O4200000051,1,120,1,10.67,10.67
O4200000051,2,96,1,2.84,2.84
O4200000051,3,187,1,8.59,8.59
O4200000052,1,76,2,12.35,24.7
O4200000052,2,158,1,17.3,17.3
O4200000052,3,1,5,8.16,40.8
O4200000052,4,56,1,5.28,5.28
O4200000053,1,88,1,3.99,3.99
O4200000053,2,91,1,22.33,22.33
O4200000054,1,112,1,18.54,18.54
O4200000056,1,166,1,16.21,16.21
O4200000056,2,93,1,14.16,14.16
O4200000057,1,127,1,23.61,23.61
O4200000058,1,160,3,17.96,53.88
O4200000058,2,153,1,9.62,9.62
O4200000059,1,188,1,16.73,16.73
O4200000059,2,137,1,17.63,17.63
O4200000059,3,28,1,9.6,9.6
O4200000059,4,181,1,26.22,26.22
O4200000060,1,156,1,26.06,26.06
O4200000061,1,139,1,6.24,6.24
O4200000062,1,61,1,22.18,22.18
O4200000062,2,172,1,22.83,22.83
O4200000062,3,137,1,16.71,16.71
O4200000062,4,21,1,5.82,5.82
O4200000062,5,90,3,16.79,50.37
O4200000062,6,138,1,21.93,21.93
O4200000062,7,66,1,13.6,13.6
O4200000063,1,184,1,5.91,5.91
O4200000063,2,137,1,18.36,18.36
O4200000063,3,46,1,26.86,26.86
O4200000064,1,178,1,10.63,10.63
O4200000064,2,172,1,23.33,23.33
O4200000064,3,33,1,11.5,11.5
O4200000064,4,127,1,21.96,21.96
O4200000064,5,191,1,19.12,19.12
O4200000064,6,173,1,10.22,10.22
O4200000065,1,177,1,13.57,13.57
O4200000066,1,58,1,24.72,24.72
O4200000066,2,37,2,7.2,14.4
O4200000066,3,127,1,23.61,23.61
O4200000067,1,65,1,17.85,17.85
O4200000067,2,107,1,14.11,14.11
O4200000068,1,154,5,25.25,126.25
O4200000068,2,38,1,23.2,23.2
O4200000070,1,161,1,5.81,5.81
O4200000071,1,13,2,23.98,47.96
O4200000071,2,141,1,12.14,12.14
O4200000071,3,68,1,7.93,7.93
O4200000072,1,57,1,2.79,2.79
O4200000072,2,5,1,17.57,17.57
O4200000072,3,47,1,19.18,19.18
O4200000073,1,131,1,5.77,5.77
O4200000073,2,50,2,17.16,34.32
O4200000073,3,173,1,10.55,10.55
O4200000074,1,126,1,5.61,5.61
O4200000074,2,110,5,10.0,50.0
O4200000074,3,95,1,28.97,28.97
O4200000074,4,76,1,12.35,12.35
O4200000074,5,41,1,12.77,12.77
O4200000075,1,179,1,20.49,20.49
O4200000075,2,112,1,17.41,17.41
O4200000076,1,190,1,11.09,11.09
O4200000076,2,24,1,11.03,11.03
O4200000077,1,52,1,7.95,7.95
O4200000078,1,67,1,14.42,14.42
O4200000078,2,1,5,8.16,40.8
O4200000079,1,20,1,8.91,8.91
O4200000079,2,90,1,16.97,16.97
O4200000080,1,145,3,2.16,6.48
O4200000080,2,25,1,23.22,23.22
O4200000080,3,122,1,4.29,4.29
O4200000081,1,154,3,24.24,72.72
O4200000082,1,38,2,22.27,44.54
O4200000082,2,119,1,23.06,23.06
O4200000082,3,43,1,6.33,6.33
O4200000082,4,116,3,12.16,36.48
O4200000083,1,196,1,14.15,14.15
O4200000083,2,149,1,0.97,0.97
O4200000084,1,132,3,5.28,15.84
O4200000084,2,33,1,12.0,12.0
O4200000084,3,31,3,15.56,46.68
O4200000085,1,159,1,3.85,3.85
O4200000085,2,120,4,10.67,42.68
O4200000085,3,59,1,8.46,8.46
O4200000085,4,94,2,3.18,6.36
O4200000085,5,150,1,13.72,13.72
O4200000086,1,87,1,15.83,15.83
O4200000086,2,167,1,12.21,12.21
O4200000086,3,9,3,19.13,57.39
O4200000087,1,87,1,14.56,14.56
O4200000087,2,127,1,21.72,21.72
O4200000088,1,127,1,23.61,23.61
O4200000089,1,179,1,20.93,20.93
O4200000089,2,126,4,5.27,21.08
O4200000089,3,61,1,22.91,22.91
O4200000089,4,14,2,15.78,31.56
O4200000089,5,88,1,3.99,3.99
O4200000090,1,135,1,2.5,2.5
O4200000090,2,38,1,22.5,22.5
O4200000090,3,182,1,4.96,4.96
O4200000090,4,121,1,2.19,2.19
O4200000090,5,61,2,23.64,47.28
O4200000090,6,123,2,22.8,45.6
O4200000091,1,82,4,19.63,78.52
O4200000091,2,147,1,11.77,11.77
O4200000092,1,74,1,7.9,7.9
O4200000092,2,164,1,10.81,10.81
O4200000093,1,13,1,23.98,23.98
O4200000094,1,90,1,18.45,18.45
O4200000094,2,175,1,19.74,19.74
O4200000094,3,164,2,11.38,22.76
O4200000094,4,54,1,19.86,19.86
O4200000094,5,187,3,9.04,27.12
O4200000096,1,196,4,13.44,53.76
O4200000097,1,192,4,13.18,52.72
O4200000097,2,185,1,23.81,23.81
O4200000097,3,103,1,7.52,7.52
O4200000097,4,200,1,13.58,13.58
O4200000097,5,116,1,11.91,11.91
O4200000098,1,4,1,25.15,25.15
O4200000098,2,122,1,4.07,4.07
O4200000099,1,77,1,5.86,5.86
O4200000099,2,29,1,11.45,11.45
O4200000099,3,176,1,19.45,19.45
O4200000099,4,130,1,12.1,12.1
O4200000099,5,152,4,19.3,77.2
O4200000100,1,67,1,13.55,13.55
O4200000100,2,103,1,7.52,7.52
O4200000100,3,177,3,13.29,39.87
O4200000101,1,150,2,14.44,28.88
O4200000101,2,61,1,24.37,24.37
O4200000102,1,40,1,18.85,18.85
O4200000103,1,154,3,25.25,75.75
O4200000103,2,137,1,18.36,18.36
O4200000103,3,191,1,20.56,20.56
O4200000104,1,52,1,7.95,7.95
O4200000104,2,194,4,14.89,59.56
O4200000105,1,116,1,12.67,12.67
O4200000105,2,32,1,17.42,17.42
O4200000105,3,127,1,23.61,23.61
O4200000106,1,176,1,18.28,18.28
O4200000106,2,168,1,18.57,18.57
O4200000107,1,156,1,26.06,26.06
O4200000107,2,33,1,12.37,12.37
O4200000107,3,130,1,12.1,12.1
O4200000107,4,171,4,16.49,65.96
O4200000108,1,54,1,19.07,19.07
O4200000108,2,128,1,26.11,26.11
O4200000109,1,95,1,28.97,28.97
O4200000109,2,74,1,8.32,8.32
O4200000109,3,194,3,14.89,44.67
O4200000110,1,141,1,11.78,11.78
O4200000111,1,134,1,2.83,2.83
O4200000111,2,49,2,7.2,14.4
O4200000112,1,166,1,17.81,17.81
O4200000113,1,17,1,16.82,16.82
O4200000113,2,160,1,18.93,18.93
O4200000113,3,58,1,23.98,23.98
O4200000114,1,91,1,22.81,22.81
O4200000115,1,173,1,10.88,10.88
O4200000115,2,31,4,15.88,63.52
O4200000115,3,110,1,9.9,9.9
O4200000117,1,128,1,27.2,27.2
O4200000117,2,129,1,25.66,25.66
O4200000117,3,24,1,11.26,11.26
O4200000118,1,110,1,10.0,10.0
O4200000118,2,79,3,13.48,40.44
O4200000118,3,200,1,14.45,14.45
O4200000118,4,112,1,18.92,18.92
O4200000118,5,152,1,19.3,19.3
O4200000118,6,13,5,23.98,119.9
O4200000119,1,114,5,10.79,53.95
O4200000119,2,152,1,16.79,16.79
O4200000120,1,137,3,18.18,54.54
O4200000120,2,166,1,17.64,17.64
O4200000120,3,37,2,7.13,14.26
O4200000120,4,190,1,11.21,11.21
O4200000120,5,51,1,4.2,4.2
O4200000120,6,124,1,1.94,1.94
O4200000121,1,107,4,14.55,58.2
O4200000122,1,82,1,18.65,18.65
O4200000122,2,180,4,17.09,68.36
O4200000122,3,170,5,12.38,61.9
O4200000123,1,22,1,4.22,4.22
O4200000123,2,44,5,9.85,49.25
O4200000123,3,161,1,5.87,5.87
O4200000123,4,56,1,5.17,5.17
O4200000124,1,185,4,25.33,101.32
O4200000124,2,129,1,25.66,25.66
O4200000124,3,107,1,14.85,14.85
O4200000124,4,188,1,17.43,17.43
O4200000125,1,129,1,24.89,24.89
O4200000125,2,93,3,15.09,45.27
O4200000125,3,187,1,8.77,8.77
O4200000125,4,173,1,10.66,10.66
O4200000126,1,5,1,17.2,17.2
O4200000127,1,179,1,21.82,21.82
O4200000127,2,161,1,5.87,5.87
O4200000127,3,88,1,4.17,4.17
O4200000128,1,147,1,11.77,11.77
O4200000128,2,165,1,13.05,13.05
O4200000128,3,3,1,25.51,25.51
O4200000129,1,46,1,26.86,26.86
O4200000129,2,120,1,11.23,11.23
O4200000129,3,61,3,24.37,73.11
O4200000129,4,154,1,25.25,25.25
O4200000130,1,69,1,14.3,14.3
O4200000130,2,49,5,7.52,37.6
O4200000130,3,196,1,13.3,13.3
O4200000130,4,130,1,11.37,11.37
O4200000130,5,23,1,15.98,15.98
O4200000131,1,157,1,12.09,12.09
O4200000131,2,153,5,10.15,50.75
O4200000131,3,149,3,0.94,2.82
O4200000132,1,134,1,3.02,3.02
O4200000132,2,183,1,1.16,1.16
O4200000132,3,54,1,19.07,19.07
O4200000132,4,61,1,23.4,23.4
O4200000132,5,69,1,14.6,14.6
O4200000132,6,58,5,23.73,118.65
O4200000132,7,86,1,21.15,21.15
O4200000133,1,26,1,8.61,8.61
O4200000133,2,141,1,11.17,11.17
O4200000133,3,76,2,11.36,22.72
O4200000134,1,192,2,13.74,27.48
O4200000134,2,160,2,19.13,38.26
O4200000134,3,47,1,19.58,19.58
O4200000134,4,34,1,5.98,5.98
O4200000134,5,88,1,4.17,4.17
O4200000134,6,69,2,14.91,29.82
O4200000135,1,176,1,18.87,18.87
O4200000135,2,139,1,6.37,6.37
O4200000135,3,152,1,18.72,18.72
O4200000136,1,200,1,13.73,13.73
O4200000136,2,85,1,24.31,24.31
O4200000136,3,78,1,9.08,9.08
O4200000136,4,200,1,13.73,13.73
O4200000136,5,108,1,19.46,19.46
O4200000137,1,131,1,6.01,6.01
O4200000137,2,58,1,24.72,24.72
O4200000137,3,23,1,17.0,17.0
O4200000138,1,167,1,12.21,12.21
O4200000139,1,15,1,11.03,11.03
O4200000139,2,106,5,24.82,124.1
O4200000139,3,122,4,4.03,16.12
O4200000140,1,100,1,2.11,2.11
O4200000140,2,109,5,9.72,48.6
O4200000140,3,190,2,10.87,21.74
O4200000141,1,116,1,12.16,12.16
O4200000141,2,145,1,2.11,2.11
O4200000142,1,146,1,16.99,16.99
O4200000142,2,192,2,14.02,28.04
O4200000142,3,158,1,17.3,17.3
O4200000142,4,110,1,10.0,10.0
O4200000143,1,67,4,14.42,57.68
O4200000143,2,20,3,9.68,29.04
O4200000145,1,190,1,10.53,10.53
O4200000145,2,185,1,23.56,23.56
O4200000146,1,192,1,13.46,13.46
O4200000146,2,150,1,13.86,13.86
O4200000146,3,132,1,5.22,5.22
O4200000146,4,77,1,5.63,5.63
O4200000147,1,79,5,13.08,65.4
O4200000147,2,185,1,24.57,24.57
O4200000147,3,196,1,13.73,13.73
O4200000147,4,175,1,19.15,19.15
O4200000148,1,1,1,7.75,7.75
O4200000148,2,46,5,25.52,127.6
O4200000148,3,94,1,3.18,3.18
O4200000149,1,152,1,19.3,19.3
O4200000149,2,197,1,12.27,12.27
O4200000149,3,173,1,10.99,10.99
O4200000150,1,61,1,24.37,24.37
O4200000150,2,37,3,7.2,21.6
O4200000150,3,49,1,8.0,8.0
O4200000150,4,29,1,11.45,11.45
O4200000150,5,74,1,8.32,8.32
O4200000150,6,82,1,19.63,19.63
O4200000152,1,129,1,25.66,25.66
O4200000152,2,161,1,5.99,5.99
O4200000152,3,134,1,3.15,3.15
O4200000152,4,146,1,16.99,16.99
O4200000152,5,149,1,0.97,0.97
O4200000153,1,43,1,6.59,6.59
O4200000153,2,88,1,4.25,4.25
O4200000154,1,118,1,2.85,2.85
O4200000155,1,149,1,0.97,0.97
O4200000156,1,145,1,2.18,2.18
O4200000157,1,26,4,8.89,35.56
O4200000157,2,57,1,2.76,2.76
O4200000157,3,33,1,11.75,11.75
O4200000157,4,161,5,5.69,28.45
O4200000158,1,22,5,4.31,21.55
O4200000159,1,164,1,11.38,11.38
O4200000159,2,147,4,11.77,47.08
O4200000159,3,67,3,14.42,43.26
O4200000159,4,133,1,16.83,16.83
O4200000160,1,123,1,23.51,23.51
O4200000160,2,21,1,6.4,6.4
O4200000161,1,123,5,23.51,117.55
O4200000161,2,145,1,2.2,2.2
O4200000162,1,129,1,24.38,24.38
O4200000162,2,101,1,23.03,23.03
O4200000163,1,180,1,17.99,17.99
O4200000163,2,175,1,19.74,19.74
O4200000163,3,58,1,24.72,24.72
O4200000163,4,185,4,25.33,101.32
O4200000163,5,23,2,17.0,34.0
O4200000164,1,178,2,11.09,22.18
O4200000164,2,48,1,23.66,23.66
O4200000164,3,116,1,12.29,12.29
O4200000164,4,55,4,23.87,95.48
O4200000164,5,119,2,23.3,46.6
O4200000164,6,141,1,11.78,11.78
O4200000165,1,46,1,25.25,25.25
O4200000166,1,120,1,11.23,11.23
O4200000166,2,133,1,16.83,16.83
O4200000168,1,116,1,11.78,11.78
O4200000168,2,75,1,6.91,6.91
O4200000169,1,152,5,18.14,90.7
O4200000170,1,67,1,14.42,14.42
O4200000171,1,107,1,14.4,14.4
O4200000172,1,59,1,8.54,8.54
O4200000172,2,88,1,4.08,4.08
O4200000173,1,50,1,17.16,17.16
O4200000174,1,15,1,11.99,11.99
O4200000174,2,76,3,12.35,37.05
O4200000174,3,178,4,11.43,45.72
O4200000174,4,91,1,23.76,23.76
O4200000175,1,130,1,12.1,12.1
O4200000176,1,163,1,10.89,10.89
O4200000176,2,183,1,1.11,1.11
O4200000177,1,37,1,7.2,7.2
O4200000177,2,74,1,8.32,8.32
O4200000177,3,23,1,17.0,17.0
O4200000177,4,151,1,17.69,17.69
O4200000178,1,180,5,17.99,89.95
O4200000178,2,188,3,17.43,52.29
O4200000178,3,191,5,20.56,102.8
O4200000178,4,194,1,14.89,14.89
O4200000179,1,166,5,17.28,86.4
O4200000179,2,70,2,4.78,9.56
O4200000179,3,187,1,8.77,8.77
O4200000179,4,74,1,8.07,8.07
O4200000181,1,68,4,7.45,29.8
O4200000182,1,118,1,2.97,2.97
O4200000182,2,37,1,7.2,7.2
O4200000182,3,88,1,4.25,4.25
O4200000182,4,109,1,10.13,10.13
O4200000182,5,59,3,8.9,26.7
O4200000183,1,176,1,18.09,18.09
O4200000183,2,188,2,16.21,32.42
O4200000183,3,73,3,15.38,46.14
O4200000183,4,65,1,17.47,17.47
O4200000183,5,182,1,4.75,4.75
O4200000183,6,119,3,22.34,67.02
O4200000183,7,180,1,16.73,16.73
O4200000184,1,110,1,10.0,10.0
O4200000184,2,140,1,4.55,4.55
O4200000184,3,50,1,17.87,17.87
O4200000185,1,67,1,14.27,14.27
O4200000185,2,42,1,7.36,7.36
O4200000185,3,112,1,18.73,18.73
O4200000185,4,61,4,24.13,96.52
O4200000185,5,15,1,11.87,11.87
O4200000186,1,58,1,23.24,23.24
O4200000186,2,152,1,18.14,18.14
O4200000187,1,152,2,18.34,36.68
O4200000188,1,52,1,7.63,7.63
O4200000188,2,76,4,11.86,47.44
O4200000188,3,110,1,9.6,9.6
O4200000188,4,149,3,0.93,2.79
O4200000188,5,10,1,26.01,26.01
O4200000189,1,176,1,17.89,17.89
O4200000190,1,9,1,17.41,17.41
O4200000190,2,163,1,10.77,10.77
O4200000191,1,149,1,0.91,0.91
O4200000192,1,50,1,16.98,16.98
O4200000194,1,164,1,10.47,10.47
O4200000194,2,28,3,9.2,27.6
O4200000195,1,134,1,3.15,3.15
O4200000195,2,70,1,4.93,4.93
O4200000196,1,88,3,3.95,11.85
O4200000197,1,2,1,12.96,12.96
O4200000197,2,132,5,5.44,27.2
O4200000197,3,104,5,23.02,115.1
O4200000197,4,191,5,20.56,102.8
O4200000197,5,110,2,10.0,20.0
O4200000198,1,176,1,18.87,18.87
O4200000199,1,185,5,25.33,126.65
O4200000199,2,132,1,5.44,5.44
O4200000200,1,18,1,7.63,7.63
O4200000200,2,79,1,13.35,13.35
O4200000201,1,43,1,6.59,6.59
O4200000201,2,128,1,27.2,27.2
O4200000201,3,68,1,7.93,7.93
O4200000202,1,120,5,10.78,53.9
O4200000202,2,21,3,6.14,18.42
O4200000203,1,61,1,23.15,23.15
O4200000203,2,150,1,13.72,13.72
O4200000203,3,133,1,15.99,15.99
O4200000203,4,164,1,10.81,10.81
O4200000203,5,168,1,18.77,18.77
O4200000203,6,172,2,23.84,47.68
O4200000204,1,147,1,10.95,10.95
O4200000205,1,185,3,25.33,75.99
O4200000205,2,178,1,11.43,11.43
O4200000205,3,76,5,12.35,61.75
O4200000205,4,59,2,8.9,17.8
O4200000206,1,187,1,9.04,9.04
O4200000206,2,196,1,14.15,14.15
O4200000206,3,84,5,13.2,66.0
O4200000206,4,98,1,8.2,8.2
O4200000206,5,172,1,25.09,25.09
O4200000207,1,180,1,17.81,17.81
O4200000207,2,109,1,10.03,10.03
O4200000207,3,134,1,3.12,3.12
O4200000207,4,65,1,18.6,18.6
O4200000207,5,66,1,14.8,14.8
O4200000208,1,84,1,12.8,12.8
O4200000208,2,88,2,4.12,8.24
O4200000209,1,185,1,25.08,25.08
O4200000209,2,188,5,17.26,86.3
O4200000209,3,31,5,15.88,79.4
O4200000209,4,198,4,23.65,94.6
O4200000210,1,15,4,11.99,47.96
O4200000210,2,3,5,25.51,127.55
O4200000210,3,74,1,8.32,8.32
O4200000210,4,20,1,9.68,9.68
O4200000210,5,77,1,5.86,5.86
O4200000211,1,153,1,10.15,10.15
O4200000211,2,138,1,23.38,23.38
O4200000211,3,54,1,19.26,19.26
O4200000211,4,143,1,7.57,7.57
O4200000211,5,60,5,17.31,86.55
O4200000211,6,51,1,4.11,4.11
O4200000213,1,171,4,15.5,62.0
O4200000214,1,133,1,15.82,15.82
O4200000215,1,181,1,26.22,26.22
O4200000215,2,47,1,19.18,19.18
O4200000215,3,163,1,11.37,11.37
O4200000216,1,99,1,10.41,10.41
O4200000216,2,103,1,8.0,8.0
O4200000217,1,168,1,19.76,19.76
O4200000218,1,147,5,11.06,55.3
O4200000218,2,65,4,17.66,70.64
O4200000218,3,77,1,5.51,5.51
O4200000219,1,23,5,16.32,81.6
O4200000219,2,100,5,2.11,10.55
O4200000219,3,57,1,2.79,2.79
O4200000219,4,124,3,1.88,5.64
O4200000220,1,161,1,5.99,5.99
O4200000220,2,194,4,14.89,59.56
O4200000220,3,109,1,10.13,10.13
O4200000220,4,110,1,10.0,10.0
O4200000221,1,127,1,23.37,23.37
O4200000221,2,175,2,19.54,39.08
O4200000221,3,184,1,5.85,5.85
O4200000222,1,13,4,23.02,92.08
O4200000222,2,194,1,14.29,14.29
O4200000222,3,164,1,10.92,10.92
O4200000223,1,115,1,11.53,11.53
O4200000224,1,177,1,14.14,14.14
O4200000224,2,171,2,16.49,32.98
O4200000225,1,96,1,2.87,2.87
O4200000225,2,149,1,0.93,0.93
O4200000225,3,152,3,18.53,55.59
O4200000225,4,59,1,8.54,8.54
O4200000225,5,88,1,4.08,4.08
O4200000225,6,110,1,9.6,9.6
O4200000226,1,45,1,27.49,27.49
O4200000226,2,199,1,11.86,11.86
O4200000226,3,154,1,23.73,23.73
O4200000227,1,150,1,14.44,14.44
O4200000228,1,162,4,11.14,44.56
O4200000228,2,70,1,4.78,4.78
O4200000228,3,112,1,18.35,18.35
O4200000229,1,168,1,18.97,18.97
O4200000230,1,118,1,2.97,2.97
O4200000230,2,84,4,13.2,52.8
O4200000231,1,171,1,15.5,15.5
O4200000231,2,21,3,6.02,18.06
O4200000232,1,110,1,10.0,10.0
O4200000232,2,150,1,14.44,14.44
O4200000232,3,163,4,11.84,47.36
O4200000233,1,50,4,17.87,71.48
O4200000233,2,171,1,16.49,16.49
O4200000233,3,74,1,8.32,8.32
O4200000235,1,17,1,16.3,16.3
O4200000235,2,132,2,5.11,10.22
O4200000235,3,77,1,5.51,5.51
O4200000235,4,76,1,11.61,11.61
O4200000235,5,56,4,4.96,19.84
O4200000235,6,140,1,4.28,4.28
O4200000236,1,130,3,11.25,33.75
O4200000236,2,15,5,11.15,55.75
O4200000236,3,171,1,15.34,15.34
O4200000236,4,143,1,7.25,7.25
O4200000237,1,147,1,11.77,11.77
O4200000237,2,57,1,2.91,2.91
O4200000237,3,164,1,11.38,11.38
O4200000237,4,164,3,11.38,34.14
O4200000238,1,67,1,14.42,14.42
O4200000239,1,17,1,17.34,17.34
O4200000240,1,117,1,18.57,18.57
O4200000240,2,183,4,1.15,4.6
O4200000241,1,138,5,24.1,120.5
O4200000241,2,192,1,14.02,14.02
O4200000241,3,154,1,25.25,25.25
O4200000241,4,58,1,24.72,24.72
O4200000242,1,30,4,16.22,64.88
O4200000242,2,138,1,24.1,24.1
O4200000242,3,122,1,4.38,4.38
O4200000242,4,74,1,8.32,8.32
O4200000242,5,123,1,23.51,23.51
O4200000243,1,128,1,25.84,25.84
O4200000243,2,88,3,4.04,12.12
O4200000243,3,87,1,15.04,15.04
O4200000243,4,194,2,14.15,28.3
O4200000243,5,34,2,5.79,11.58
O4200000243,6,74,1,7.9,7.9
O4200000244,1,193,1,20.92,20.92
O4200000244,2,158,1,17.3,17.3
O4200000244,3,41,3,12.77,38.31
O4200000244,4,99,1,10.41,10.41
O4200000245,1,51,5,4.24,21.2
O4200000245,2,28,4,10.0,40.0
O4200000245,3,98,1,8.2,8.2
O4200000246,1,117,1,18.96,18.96
O4200000247,1,118,5,2.85,14.25
O4200000248,1,128,1,26.66,26.66
O4200000248,2,96,3,2.93,8.79
O4200000249,1,36,2,15.88,31.76
O4200000249,2,196,1,13.02,13.02
O4200000249,3,178,5,10.52,52.6
O4200000249,4,170,1,11.99,11.99
O4200000249,5,116,1,11.66,11.66
O4200000250,1,58,1,23.73,23.73
O4200000250,2,167,3,11.72,35.16
O4200000250,3,99,4,9.99,39.96
O4200000251,1,37,1,7.2,7.2
O4200000251,2,112,1,18.92,18.92
O4200000252,1,123,1,21.86,21.86
O4200000252,2,18,1,7.17,7.17
O4200000252,3,198,5,22.22,111.1
O4200000252,4,76,1,11.49,11.49
O4200000252,5,42,1,6.91,6.91
O4200000253,1,115,1,11.42,11.42
O4200000253,2,163,1,11.6,11.6
O4200000253,3,75,1,7.28,7.28
O4200000254,1,122,1,4.29,4.29
O4200000254,2,21,1,6.27,6.27
O4200000254,3,150,1,14.15,14.15
O4200000255,1,32,1,16.72,16.72
O4200000256,1,58,5,22.74,113.7
O4200000256,2,76,1,11.36,11.36
O4200000256,3,87,1,14.56,14.56
O4200000256,4,112,4,17.41,69.64
O4200000256,5,22,1,3.97,3.97
O4200000257,1,162,1,11.25,11.25
O4200000257,2,67,1,14.13,14.13
O4200000258,1,154,1,25.25,25.25
O4200000259,1,152,1,19.3,19.3
O4200000259,2,70,5,4.93,24.65
O4200000259,3,54,1,19.86,19.86
O4200000260,1,109,1,10.13,10.13
O4200000260,2,51,1,4.24,4.24
O4200000260,3,134,5,3.15,15.75
O4200000260,4,78,1,9.56,9.56
O4200000261,1,21,1,5.89,5.89
O4200000261,2,104,2,21.18,42.36
O4200000261,3,185,1,23.3,23.3
O4200000262,1,100,3,2.2,6.6
O4200000263,1,154,1,24.75,24.75
O4200000264,1,14,1,16.79,16.79
O4200000264,2,146,1,16.99,16.99
O4200000264,3,92,4,7.97,31.88
O4200000264,4,120,1,11.23,11.23
O4200000264,5,23,1,17.0,17.0
O4200000264,6,67,1,14.42,14.42
O4200000265,1,3,1,25.51,25.51
